Ax_By_Cz,A,B,C,x,y,z,structure,S1,S2,S3,S4,Energy,Av_chg_x,Av_chg_y,Avg_chg_z,Charge,M,state
Fe15_Ni1_S16,Fe,Ni,S,0.9375,0.0625,1,"1,",1,0,0,0,-213.40974984,7.5,9.5,3.7,181.374,4.799,1.0
Fe14_Ni2_S16,Fe,Ni,S,0.875,0.125,1,"1,2",2,0,0,0,-210.46962864,7.5,9.5,3.7,183.371,2.827,1.0
Fe14_Ni2_S16,Fe,Ni,S,0.875,0.125,1,"1,3",2,0,0,0,-210.58472183,7.5,9.5,3.7,183.373,3.747,1.0
Fe14_Ni2_S16,Fe,Ni,S,0.875,0.125,1,"1,4",2,0,0,0,-210.45774925,7.5,9.5,3.7,183.372,2.652,1.0
Fe14_Ni2_S16,Fe,Ni,S,0.875,0.125,1,"1,5",1,1,0,0,-210.54773516,7.5,9.5,3.7,183.367,3.178,1.0
Fe14_Ni2_S16,Fe,Ni,S,0.875,0.125,1,"1,6",1,1,0,0,-210.62518962,7.5,9.5,3.7,183.369,3.049,1.0
Fe14_Ni2_S16,Fe,Ni,S,0.875,0.125,1,"1,7",1,1,0,0,-210.52823171,7.5,9.5,3.7,183.372,3.661,1.0
Fe14_Ni2_S16,Fe,Ni,S,0.875,0.125,1,"1,8",1,1,0,0,-210.62518937,7.5,9.5,3.7,183.369,3.049,1.0
Fe14_Ni2_S16,Fe,Ni,S,0.875,0.125,1,"1,13",1,0,0,1,-210.54772766,7.5,9.5,3.7,183.367,3.179,1.0
Fe14_Ni2_S16,Fe,Ni,S,0.875,0.125,1,"1,14",1,0,0,1,-210.62517589,7.5,9.5,3.7,183.369,3.049,1.0
Fe14_Ni2_S16,Fe,Ni,S,0.875,0.125,1,"1,15",1,0,0,1,-210.52822643,7.5,9.5,3.7,183.372,3.661,1.0
Fe14_Ni2_S16,Fe,Ni,S,0.875,0.125,1,"1,16",1,0,0,1,-210.62517535,7.5,9.5,3.7,183.369,3.049,1.0
Fe14_Ni2_S16,Fe,Ni,S,0.875,0.125,1,"5,9",0,1,1,0,-210.54674731,7.5,9.5,3.7,183.367,3.215,1.0
Fe14_Ni2_S16,Fe,Ni,S,0.875,0.125,1,"5,10",0,1,1,0,-210.62517658,7.5,9.5,3.7,183.369,3.049,1.0
Fe14_Ni2_S16,Fe,Ni,S,0.875,0.125,1,"5,11",0,1,1,0,-210.52822635,7.5,9.5,3.7,183.372,3.661,1.0
Fe14_Ni2_S16,Fe,Ni,S,0.875,0.125,1,"5,12",0,1,1,0,-210.62517563,7.5,9.5,3.7,183.369,3.049,1.0
Fe15_Ni1_Se16,Fe,Ni,Se,0.9375,0.0625,1,"1,",1,0,0,0,-190.03624798,7.8,9.8,4.0,192.859,0.0,0.0
Fe14_Ni2_Se16,Fe,Ni,Se,0.875,0.125,1,"1,2",2,0,0,0,-187.27157362,7.8,9.8,4.0,194.778,0.0,0.0
Fe14_Ni2_Se16,Fe,Ni,Se,0.875,0.125,1,"1,3",2,0,0,0,-187.40387392,7.8,9.8,4.0,194.783,0.0,0.0
Fe14_Ni2_Se16,Fe,Ni,Se,0.875,0.125,1,"1,4",2,0,0,0,-187.27157338,7.8,9.8,4.0,194.778,0.0,0.0
Fe14_Ni2_Se16,Fe,Ni,Se,0.875,0.125,1,"1,5",1,1,0,0,-187.35234955,7.8,9.8,4.0,194.777,0.0,0.0
Fe14_Ni2_Se16,Fe,Ni,Se,0.875,0.125,1,"1,6",1,1,0,0,-187.42469001,7.8,9.8,4.0,194.776,0.0,0.0
Fe14_Ni2_Se16,Fe,Ni,Se,0.875,0.125,1,"1,7",1,1,0,0,-187.33167884,7.8,9.8,4.0,194.778,0.0,0.0
Fe14_Ni2_Se16,Fe,Ni,Se,0.875,0.125,1,"1,8",1,1,0,0,-187.42469003,7.8,9.8,4.0,194.776,0.0,0.0
Fe14_Ni2_Se16,Fe,Ni,Se,0.875,0.125,1,"1,13",1,0,0,1,-187.35234309,7.8,9.8,4.0,194.777,0.0,0.0
Fe14_Ni2_Se16,Fe,Ni,Se,0.875,0.125,1,"1,14",1,0,0,1,-187.42468009,7.8,9.8,4.0,194.776,0.0,0.0
Fe14_Ni2_Se16,Fe,Ni,Se,0.875,0.125,1,"1,15",1,0,0,1,-187.33167295,7.8,9.8,4.0,194.778,0.0,0.0
Fe14_Ni2_Se16,Fe,Ni,Se,0.875,0.125,1,"1,16",1,0,0,1,-187.42467989,7.8,9.8,4.0,194.776,0.0,0.0
Fe14_Ni2_Se16,Fe,Ni,Se,0.875,0.125,1,"5,9",0,1,1,0,-187.3523431,7.8,9.8,4.0,194.777,0.0,0.0
Fe14_Ni2_Se16,Fe,Ni,Se,0.875,0.125,1,"5,10",0,1,1,0,-187.42468064,7.8,9.8,4.0,194.776,0.0,0.0
Fe14_Ni2_Se16,Fe,Ni,Se,0.875,0.125,1,"5,11",0,1,1,0,-187.33167295,7.8,9.8,4.0,194.778,0.0,0.0
Fe14_Ni2_Se16,Fe,Ni,Se,0.875,0.125,1,"5,12",0,1,1,0,-187.42468064,7.8,9.8,4.0,194.776,0.0,0.0
Fe15_Ni1_Te16,Fe,Ni,Te,0.9375,0.0625,1,"1,",1,0,0,0,-149.11265766,8.5,10.0,3.9,200.092,0.0,0.0
Fe14_Ni2_Te16,Fe,Ni,Te,0.875,0.125,1,"1,2",2,0,0,0,-145.84589494,8.5,10.0,3.9,201.939,0.0,0.0
Fe14_Ni2_Te16,Fe,Ni,Te,0.875,0.125,1,"1,3",2,0,0,0,-146.05795515,8.5,10.0,3.9,201.934,0.0,0.0
Fe14_Ni2_Te16,Fe,Ni,Te,0.875,0.125,1,"1,4",2,0,0,0,-145.84589609,8.5,10.0,3.9,201.939,0.0,0.0
Fe14_Ni2_Te16,Fe,Ni,Te,0.875,0.125,1,"1,5",1,1,0,0,-146.05500178,8.5,10.0,3.9,201.933,0.0,0.0
Fe14_Ni2_Te16,Fe,Ni,Te,0.875,0.125,1,"1,6",1,1,0,0,-146.10822622,8.5,10.0,3.9,201.933,0.0,0.0
Fe14_Ni2_Te16,Fe,Ni,Te,0.875,0.125,1,"1,7",1,1,0,0,-146.08624656,8.5,10.0,3.9,201.935,0.0,0.0
Fe14_Ni2_Te16,Fe,Ni,Te,0.875,0.125,1,"1,8",1,1,0,0,-146.10822623,8.5,10.0,3.9,201.933,0.0,0.0
Fe14_Ni2_Te16,Fe,Ni,Te,0.875,0.125,1,"1,13",1,0,0,1,-146.05499971,8.5,10.0,3.9,201.933,0.0,0.0
Fe14_Ni2_Te16,Fe,Ni,Te,0.875,0.125,1,"1,14",1,0,0,1,-146.10822126,8.5,10.0,3.9,201.933,0.0,0.0
Fe14_Ni2_Te16,Fe,Ni,Te,0.875,0.125,1,"1,15",1,0,0,1,-146.08624372,8.5,10.0,3.9,201.935,0.0,0.0
