Fe,S1,S2,S3,S4,Ni,Co,Cr,Mn,Se,S,Te,M_predicted
0.94,0,0,0,1,0.06,0,0,0,0,1,0,4.718164699494948
0.94,0,1,0,0,0.06,0,0,0,0,1,0,4.665813957431457
0.94,0,0,1,0,0.06,0,0,0,0,1,0,4.735733972222217
0.94,1,0,0,0,0.06,0,0,0,0,1,0,4.721756257492502
0.9395,0,0,0,1,0.0605,0,0,0,0,1,0,4.718164699494948
0.9395,0,1,0,0,0.0605,0,0,0,0,1,0,4.6574583805083805
0.9395,0,0,1,0,0.0605,0,0,0,0,1,0,4.7412381388888845
0.9395,1,0,0,0,0.0605,0,0,0,0,1,0,4.725316257492501
0.9390000000000001,0,0,0,1,0.061,0,0,0,0,1,0,4.718164699494948
0.9390000000000001,0,1,0,0,0.061,0,0,0,0,1,0,4.6574583805083805
0.9390000000000001,0,0,1,0,0.061,0,0,0,0,1,0,4.7412381388888845
0.9390000000000001,1,0,0,0,0.061,0,0,0,0,1,0,4.71152942415917
0.9384999999999999,0,0,0,1,0.061500000000000006,0,0,0,0,1,0,4.718164699494948
0.9384999999999999,0,1,0,0,0.061500000000000006,0,0,0,0,1,0,4.6420337376512375
0.9384999999999999,0,0,1,0,0.061500000000000006,0,0,0,0,1,0,4.738280138888885
0.9384999999999999,1,0,0,0,0.061500000000000006,0,0,0,0,1,0,4.71152942415917
0.938,0,0,0,1,0.062,0,0,0,0,1,0,4.718596699494948
0.938,0,1,0,0,0.062,0,0,0,0,1,0,4.6420337376512375
0.938,0,0,1,0,0.062,0,0,0,0,1,0,4.7380101388888844
0.938,1,0,0,0,0.062,0,0,0,0,1,0,4.71152942415917
0.9375,0,0,0,1,0.0625,0,0,0,0,1,0,4.670658699494948
0.9375,0,1,0,0,0.0625,0,0,0,0,1,0,4.644098737651237
0.9375,0,0,1,0,0.0625,0,0,0,0,1,0,4.74635342560217
0.9375,1,0,0,0,0.0625,0,0,0,0,1,0,4.722303106698852
0.937,0,0,0,1,0.063,0,0,0,0,1,0,4.63748742243867
0.937,0,1,0,0,0.063,0,0,0,0,1,0,4.648547967088465
0.937,0,0,1,0,0.063,0,0,0,0,1,0,4.657041381229879
0.937,1,0,0,0,0.063,0,0,0,0,1,0,4.6610716373626335
0.9365000000000001,0,0,0,1,0.0635,0,0,0,0,1,0,4.63748742243867
0.9365000000000001,0,1,0,0,0.0635,0,0,0,0,1,0,4.641387967088465
0.9365000000000001,0,0,1,0,0.0635,0,0,0,0,1,0,4.647881381229879
0.9365000000000001,1,0,0,0,0.0635,0,0,0,0,1,0,4.644821266150513
0.9359999999999999,0,0,0,1,0.064,0,0,0,0,1,0,4.623073255772004
0.9359999999999999,0,1,0,0,0.064,0,0,0,0,1,0,4.641359967088466
0.9359999999999999,0,0,1,0,0.064,0,0,0,0,1,0,4.647881381229879
0.9359999999999999,1,0,0,0,0.064,0,0,0,0,1,0,4.66299793281718
0.9355,0,0,0,1,0.0645,0,0,0,0,1,0,4.617810005772004
0.9355,0,1,0,0,0.0645,0,0,0,0,1,0,4.651044967088466
0.9355,0,0,1,0,0.0645,0,0,0,0,1,0,4.662945980436229
0.9355,1,0,0,0,0.0645,0,0,0,0,1,0,4.663194182817179
0.935,0,0,0,1,0.065,0,0,0,0,1,0,4.617810005772004
0.935,0,1,0,0,0.065,0,0,0,0,1,0,4.650808967088467
0.935,0,0,1,0,0.065,0,0,0,0,1,0,4.673567599483849
0.935,1,0,0,0,0.065,0,0,0,0,1,0,4.665820405039401
0.9345,0,0,0,1,0.0655,0,0,0,0,1,0,4.617810005772004
0.9345,0,1,0,0,0.0655,0,0,0,0,1,0,4.650808967088467
0.9345,0,0,1,0,0.0655,0,0,0,0,1,0,4.678023432817181
0.9345,1,0,0,0,0.0655,0,0,0,0,1,0,4.664377738372735
0.934,0,0,0,1,0.066,0,0,0,0,1,0,4.608788862914861
0.934,0,1,0,0,0.066,0,0,0,0,1,0,4.646785411532912
0.934,0,0,1,0,0.066,0,0,0,0,1,0,4.67453843281718
0.934,1,0,0,0,0.066,0,0,0,0,1,0,4.658137071706069
0.9335,0,0,0,1,0.0665,0,0,0,0,1,0,4.609765862914861
0.9335,0,1,0,0,0.0665,0,0,0,0,1,0,4.66398776867577
0.9335,0,0,1,0,0.0665,0,0,0,0,1,0,4.673261766150513
0.9335,1,0,0,0,0.0665,0,0,0,0,1,0,4.649547488372735
0.9329999999999999,0,0,0,1,0.067,0,0,0,0,1,0,4.63487711291486
0.9329999999999999,0,1,0,0,0.067,0,0,0,0,1,0,4.664637768675769
0.9329999999999999,0,0,1,0,0.067,0,0,0,0,1,0,4.682946766150513
0.9329999999999999,1,0,0,0,0.067,0,0,0,0,1,0,4.648083684953932
0.9325,0,0,0,1,0.0675,0,0,0,0,1,0,4.63487711291486
0.9325,0,1,0,0,0.0675,0,0,0,0,1,0,4.658933768675769
0.9325,0,0,1,0,0.0675,0,0,0,0,1,0,4.683646766150513
0.9325,1,0,0,0,0.0675,0,0,0,0,1,0,4.651637018287266
0.932,0,0,0,1,0.068,0,0,0,0,1,0,4.63487711291486
0.932,0,1,0,0,0.068,0,0,0,0,1,0,4.6667357686757684
0.932,0,0,1,0,0.068,0,0,0,0,1,0,4.699252599483847
0.932,1,0,0,0,0.068,0,0,0,0,1,0,4.654097018287266
